dimension,time,l1_misses,l2_misses
600,0.174,27172458,58800622
600,0.173,27172450,57744065
600,0.173,27172689,57620518
1000,0.810,125566446,267656216
1000,0.809,125558112,265847832
1000,0.811,125565164,266010123
1400,2.633,345078990,732242922
1400,2.588,344863831,723557594
1400,2.566,344706632,725354810
1800,5.703,737793933,1547496131
1800,5.624,737051573,1533778084
1800,5.623,736991669,1533622305
2200,10.399,2075115556,2780439545
2200,10.477,2071953575,2812483922
2200,10.469,2071237869,2810525539
2600,17.398,4414725348,4636518268
2600,17.344,4414937946,4601351458
2600,17.377,4414921700,4634384100
3000,26.674,6778541195,7052754533
3000,26.456,6778622560,7003814191
3000,26.458,6778607159,7007403524
4096,68.546,17690091420,18131782459
4096,66.298,17690925763,17960689555
4096,66.627,17690873747,18008760044
6144,223.505,59639763295,61712888576
6144,223.516,59625145232,61114541479
6144,224.024,59614899377,61154248712
8192,530.962,141215453725,150478866302
8192,541.252,141218357872,153580456358
8192,531.092,141279194710,147381003200
10240,1057.083,275715855125,303484224173
10240,1037.941,275693001875,298042022343
10240,1037.301,275734901368,300244435215
