dimension,block_dimension,time,l1_misses,l2_misses
4096,128,54.712,9894262681,32152630666
4096,256,54.475,9224194575,22558416249
4096,512,57.564,8907263120,20066869753
6144,128,185.663,33284458348,109835296393
6144,256,162.302,31100811771,75853975333
6144,512,165.759,30034084774,68299304963
8192,128,542.485,79272558223,256934376125
8192,256,564.775,74040364729,171460757906
8192,512,501.901,71418110011,159491022894
10240,128,854.309,154538291811,509320147291
10240,256,747.869,143989688443,349604770144
10240,512,763.977,138999749010,314584673439
